index,sigmas,mu
2176,5.6562,-327.93588
2177,4.42212,-325.98
2178,2.46816,-324.0241
2179,2.77668,-324.0241
2180,2.77668,-324.0241
2181,2.77668,-324.0241
2182,4.42212,-324.0241
2183,4.42212,-324.0241
2184,4.42212,-324.0241
2185,4.42212,-324.0241
2186,4.42212,-324.0241
2187,4.42212,-324.0241
2188,4.42212,-324.0241
2189,4.42212,-324.0241
2190,4.42212,-324.0241
2191,3.5994,-327.2839
2192,3.5994,-327.2839
2193,3.5994,-327.2839
2194,4.42212,-326.63196
2195,6.37608,-326.63196
2196,6.37608,-326.63196
2197,6.37608,-326.63196
2198,6.37608,-326.63196
2199,6.37608,-326.63196
2200,6.37608,-326.63196
2201,6.37608,-326.63196
2202,6.37608,-324.0241
2203,6.37608,-324.0241
2204,6.37608,-324.0241
2205,6.99312,-324.6761
2206,6.06756,-322.7202
2207,7.09596,-320.7643
2208,7.09596,-320.7643
2209,7.50732,-327.93588
2210,7.50732,-327.93588
2211,7.50732,-327.93588
2212,7.50732,-327.93588
2213,7.50732,-327.93588
2214,7.50732,-327.93588
2215,7.50732,-327.93588
2216,6.89028,-328.58783
2217,6.89028,-328.58783
2218,10.18116,-330.54373
2219,10.18116,-320.7643
2220,10.18116,-320.7643
2221,10.18116,-320.7643
2222,10.18116,-320.7643
2223,10.18116,-331.19568
2224,10.18116,-331.19568
2225,10.18116,-331.19568
2226,10.18116,-331.19568
2227,10.18116,-331.19568
2228,10.18116,-330.54373
2229,10.18116,-330.54373
2230,7.91868,-330.54373
2231,7.91868,-330.54373
2232,7.91868,-330.54373
2233,7.91868,-330.54373
2234,7.91868,-330.54373
2235,7.40448,-327.2839
2236,6.37608,-329.2398
2237,7.40448,-325.32803
2238,4.93632,-326.63196
2239,4.93632,-326.63196
2240,4.6278,-326.63196
2241,4.6278,-326.63196
2242,5.34768,-329.2398
2243,6.1704,-330.54373
2244,6.1704,-330.54373
2245,6.1704,-330.54373
2246,6.1704,-330.54373
2247,5.6562,-331.19568
2248,5.6562,-331.19568
2249,5.6562,-331.19568
2250,5.6562,-331.19568
2251,5.6562,-331.19568
2252,5.6562,-331.19568
2253,5.6562,-331.19568
2254,5.86188,-323.37216
2255,5.86188,-323.37216
2256,5.86188,-323.37216
2257,5.86188,-323.37216
2258,5.86188,-323.37216
2259,6.1704,-327.93588
2260,5.96472,-321.4163
2261,5.96472,-321.4163
2262,5.96472,-321.4163
2263,2.36532,-324.0241
2264,2.36532,-324.0241
2265,0.10284,-324.0241
2266,0.82272,-324.6761
2267,0.0,-329.2398
2268,0.0,-329.2398
2269,0.0,-329.2398
2270,0.0,-329.2398
2271,0.20568,-327.2839
2272,0.20568,-327.2839
2273,0.0,-324.0241
2274,0.0,-324.0241
2275,0.0,-324.0241
2276,0.0,-324.0241
2277,0.30852,-327.93588
2278,0.30852,-327.93588
2279,0.30852,-327.93588
2280,0.0,-327.2839
2281,0.0,-327.2839
2282,0.0,-327.2839
2283,0.10284,-329.2398
2284,0.10284,-329.2398
2285,0.10284,-329.2398
2286,0.10284,-329.2398
2287,0.0,-329.2398
2288,0.0,-329.2398
2289,0.0,-329.2398
2290,0.0,-329.2398
2291,0.30852,-328.58783
2292,2.36532,-324.6761
2293,2.36532,-324.6761
2294,2.36532,-324.6761
2295,2.36532,-324.6761
2296,2.36532,-324.6761
2297,2.77668,-324.6761
2298,2.26248,-324.6761
2299,4.21644,-329.2398
2300,4.21644,-329.2398
2301,4.21644,-322.06824
2302,4.21644,-322.06824
2303,4.21644,-322.06824
2304,4.21644,-322.06824
2305,4.21644,-322.06824
2306,4.21644,-322.06824
2307,4.31928,-325.32803
2308,1.5426,-327.2839
2309,1.5426,-327.2839
2310,1.5426,-327.2839
2311,1.5426,-327.2839
2312,1.5426,-327.2839
2313,1.5426,-327.2839
2314,1.5426,-327.2839
2315,0.0,-323.37216
2316,0.0,-323.37216
2317,0.0,-323.37216
2318,0.0,-325.32803
2319,0.20568,-324.0241
2320,0.0,-327.2839
2321,0.0,-327.2839
2322,0.0,-327.2839
2323,3.80508,-328.58783
2324,3.80508,-328.58783
2325,2.0568,-329.2398
2326,2.0568,-329.2398
2327,2.0568,-329.2398
2328,3.49656,-329.89175
2329,3.18804,-321.4163
2330,4.73064,-322.06824
2331,4.73064,-322.06824
2332,4.73064,-322.06824
2333,6.89028,-323.37216
2334,6.89028,-323.37216
2335,6.89028,-323.37216
2336,7.30164,-325.98
2337,7.30164,-325.98
2338,7.30164,-325.98
2339,6.06756,-327.2839
2340,6.06756,-327.2839
2341,6.06756,-327.2839
2342,6.06756,-327.2839
2343,5.75904,-328.58783
2344,5.75904,-328.58783
2345,6.47892,-329.2398
2346,6.47892,-329.2398
2347,6.47892,-329.2398
2348,4.93632,-321.4163
2349,4.93632,-321.4163
2350,4.93632,-321.4163
2351,4.93632,-321.4163
2352,4.21644,-321.4163
2353,4.21644,-321.4163
2354,4.6278,-323.37216
2355,4.6278,-323.37216
2356,4.6278,-323.37216
2357,4.6278,-323.37216
2358,2.98236,-327.93588
2359,2.98236,-327.93588
2360,2.36532,-325.32803
2361,1.85112,-325.32803
2362,1.85112,-325.32803
2363,1.85112,-325.32803
2364,1.85112,-325.32803
2365,3.0852,-324.6761
2366,3.0852,-324.6761
2367,3.0852,-324.6761
2368,2.87952,-328.58783
2369,4.21644,-325.32803
2370,4.01076,-325.32803
2371,3.80508,-326.63196
2372,3.80508,-326.63196
2373,3.80508,-326.63196
2374,2.36532,-326.63196
2375,4.1136,-326.63196
2376,4.1136,-326.63196
2377,4.1136,-326.63196
2378,4.21644,-325.98
2379,4.21644,-325.98
2380,4.21644,-325.98
2381,4.21644,-325.98
2382,4.21644,-325.98
2383,4.21644,-325.98
2384,4.21644,-325.98
2385,4.21644,-325.98
2386,4.21644,-325.98
2387,4.21644,-325.98
2388,4.21644,-325.98
2389,4.21644,-325.98
2390,4.21644,-325.98
2391,4.21644,-325.98
2392,4.21644,-325.98
2393,4.21644,-325.98
2394,4.21644,-325.98
2395,2.98236,-325.98
2396,2.98236,-325.98
2397,2.98236,-325.98
2398,2.98236,-325.98
2399,2.98236,-325.98
2400,2.98236,-325.98
2401,2.98236,-325.98
2402,2.98236,-325.98
2403,2.98236,-325.98
2404,1.13124,-325.32803
2405,1.13124,-325.32803
2406,1.13124,-325.32803
2407,1.13124,-325.32803
2408,1.13124,-325.32803
2409,0.20568,-326.63196
2410,0.20568,-326.63196
2411,0.20568,-326.63196
2412,1.0284,-328.58783
2413,1.23408,-322.06824
2414,1.23408,-322.06824
2415,1.23408,-322.06824
2416,2.77668,-327.2839
2417,3.49656,-327.2839
2418,3.29088,-324.0241
2419,3.29088,-324.0241
2420,1.23408,-326.63196
2421,1.23408,-326.63196
2422,2.26248,-326.63196
2423,1.85112,-328.58783
2424,1.85112,-328.58783
2425,1.85112,-328.58783
2426,1.85112,-328.58783
2427,1.85112,-328.58783
2428,1.85112,-328.58783
2429,1.85112,-328.58783
2430,1.85112,-328.58783
2431,1.85112,-328.58783
2432,1.0284,-324.6761
2433,0.0,-324.0241
2434,0.0,-324.0241
2435,0.0,-325.32803
2436,0.0,-325.32803
2437,0.0,-325.32803
2438,1.0284,-327.93588
2439,1.0284,-327.93588
2440,0.5142,-325.98
2441,0.5142,-325.98
2442,0.5142,-325.98
2443,0.0,-331.19568
2444,0.20568,-329.89175
2445,0.20568,-329.89175
2446,0.20568,-329.89175
2447,0.20568,-329.2398
2448,0.20568,-329.2398
2449,0.0,-329.2398
2450,0.0,-329.2398
2451,0.0,-329.2398
2452,0.0,-329.2398
2453,0.0,-329.2398
2454,0.0,-329.2398
2455,0.0,-328.58783
2456,0.0,-328.58783
2457,0.82272,-326.63196
2458,0.82272,-326.63196
2459,0.0,-325.98
2460,0.0,-325.98
2461,0.0,-325.98
2462,0.0,-325.98
2463,0.0,-325.98
2464,0.0,-325.98
2465,0.0,-325.98
2466,0.0,-326.63196
2467,0.0,-326.63196
2468,0.0,-326.63196
2469,0.0,-326.63196
2470,1.43976,-322.06824
2471,1.43976,-322.06824
2472,2.98236,-326.63196
2473,2.98236,-326.63196
2474,2.98236,-326.63196
2475,2.98236,-326.63196
2476,2.98236,-326.63196
2477,1.13124,-325.98
2478,1.13124,-325.98
2479,2.0568,-327.2839
2480,2.0568,-322.7202
2481,5.03916,-322.7202
2482,5.03916,-322.7202
2483,5.03916,-322.7202
2484,5.96472,-325.32803
2485,4.31928,-323.37216
2486,4.6278,-323.37216
2487,4.6278,-323.37216
2488,4.6278,-323.37216
2489,4.6278,-323.37216
2490,4.6278,-323.37216
2491,2.36532,-324.0241
2492,2.36532,-324.0241
2493,2.36532,-324.0241
2494,2.36532,-324.0241
2495,2.36532,-324.0241
2496,0.30852,-324.0241
2497,0.30852,-324.0241
2498,0.30852,-324.0241
2499,0.82272,-327.2839
2500,0.82272,-327.2839
2501,0.82272,-327.2839
2502,0.82272,-327.2839
2503,2.0568,-322.7202
2504,2.0568,-325.98
2505,2.0568,-325.98
2506,2.0568,-325.98
2507,2.0568,-325.98
2508,2.36532,-323.37216
2509,2.36532,-323.37216
2510,2.36532,-323.37216
